Time [s],Value,Parity Error,Framing Error
0.509048875000000,$,,
0.510090375000000,G,,
0.511131875000000,P,,
0.512173416666667,G,,
0.513214916666667,G,,
0.514256458333333,A,,
0.515297958333333,COMMA,,
0.516339500000000,0,,
0.517381000000000,0,,
0.518422541666667,2,,
0.519464041666667,2,,
0.520505583333333,3,,
0.521547083333333,9,,
0.522588625000000,.,,
0.523630125000000,7,,
0.524671625000000,9,,
0.525901416666667,9,,
0.526942916666667,COMMA,,
0.527984416666667,COMMA,,
0.529025958333333,COMMA,,
0.530067458333333,COMMA,,
0.531109000000000,COMMA,,
0.532150500000000,0,,
0.533192041666667,COMMA,,
0.534233541666667,0,,
0.535275083333333,COMMA,,
0.536316583333333,COMMA,,
0.537358125000000,COMMA,,
0.538399625000000,M,,
0.539441166666667,COMMA,,
0.540482666666667,COMMA,,
0.541524166666667,M,,
0.542754000000000,COMMA,,
0.543795500000000,COMMA,,
0.544837041666667,*,,
0.545878541666667,4,,
0.546920083333333,5,,
0.547961583333333,\r,,
0.549003125000000,\n,,
0.550044625000000,$,,
0.551086166666667,G,,
0.552127666666667,P,,
0.553169208333333,G,,
0.554210708333333,S,,
0.555252250000000,A,,
0.556293750000000,COMMA,,
0.557335291666667,A,,
0.558376791666667,COMMA,,
0.559606625000000,1,,
0.560648125000000,COMMA,,
0.561689625000000,COMMA,,
0.562731166666667,COMMA,,
0.563772666666667,COMMA,,
0.564814208333333,COMMA,,
0.565855708333333,COMMA,,
0.566897250000000,COMMA,,
0.567938750000000,COMMA,,
0.568980291666667,COMMA,,
0.570021791666667,COMMA,,
0.571063333333333,COMMA,,
0.572104833333333,COMMA,,
0.573146375000000,COMMA,,
0.574187875000000,COMMA,,
0.575229375000000,COMMA,,
0.576459250000000,*,,
0.577500791666667,1,,
0.578542291666667,E,,
0.579583833333333,\r,,
0.580625333333333,\n,,
0.581666875000000,$,,
0.582708375000000,G,,
0.583749916666667,P,,
0.584791416666667,R,,
0.585832958333333,M,,
0.586874458333333,C,,
0.587916000000000,COMMA,,
0.588957500000000,0,,
0.589999000000000,0,,
0.591040541666667,2,,
0.592082041666667,2,,
0.593394333333333,3,,
0.594435833333333,9,,
0.595477375000000,.,,
0.596518875000000,7,,
0.597560375000000,9,,
0.598601916666667,9,,
0.599643416666667,COMMA,,
0.600684958333333,V,,
0.601726458333333,COMMA,,
0.602768000000000,COMMA,,
0.603809500000000,COMMA,,
0.604851041666667,COMMA,,
0.605892541666667,COMMA,,
0.606934083333333,0,,
0.607975583333333,.,,
0.609017125000000,0,,
0.610246916666667,0,,
0.611288458333333,COMMA,,
0.612329958333333,0,,
0.613371458333333,.,,
0.614413000000000,0,,
0.615454500000000,0,,
0.616496041666667,COMMA,,
0.617537541666667,0,,
0.618579083333333,6,,
0.619620583333333,0,,
0.620662125000000,1,,
0.621703625000000,8,,
0.622745166666667,0,,
0.623786666666667,COMMA,,
0.624828208333333,COMMA,,
0.625869708333333,COMMA,,
0.627099541666667,N,,
0.628141041666667,*,,
0.629182583333333,4,,
0.630224083333333,F,,
0.631265583333333,\r,,
0.632307125000000,\n,,
0.633348625000000,$,,
0.634390166666667,G,,
0.635431666666667,P,,
0.636473208333333,V,,
0.637514708333333,T,,
0.638556250000000,G,,
0.639597750000000,COMMA,,
0.640639291666667,0,,
0.641680791666667,.,,
0.642722333333333,0,,
0.643952208333333,0,,
0.644993708333333,COMMA,,
0.646035208333333,T,,
0.647076750000000,COMMA,,
0.648118250000000,COMMA,,
0.649159791666667,M,,
0.650201291666667,COMMA,,
0.651242833333333,0,,
0.652284333333333,.,,
0.653325875000000,0,,
0.654367375000000,0,,
0.655408916666667,COMMA,,
0.656450416666667,N,,
0.657491958333333,COMMA,,
0.658533458333333,0,,
0.659575000000000,.,,
0.660763166666667,0,,
0.661804708333333,0,,
0.662846208333333,COMMA,,
0.663887750000000,K,,
0.664929250000000,COMMA,,
0.665970750000000,N,,
0.667012291666667,*,,
0.668053791666667,3,,
0.669095333333333,2,,
0.670136833333333,\r,,
0.671178375000000,\n,,
1.509323833333333,$,,
1.510365333333333,G,,
1.511406875000000,P,,
1.512448375000000,G,,
1.513489916666667,G,,
1.514531416666667,A,,
1.515572916666667,COMMA,,
1.516614458333333,0,,
1.517655958333333,0,,
1.518697500000000,2,,
1.519739000000000,2,,
1.520780541666667,4,,
1.521822041666667,0,,
1.522863583333333,.,,
1.523905083333333,7,,
1.524946625000000,9,,
1.526176416666667,9,,
1.527217958333333,COMMA,,
1.528259458333333,COMMA,,
1.529301000000000,COMMA,,
1.530342500000000,COMMA,,
1.531384000000000,COMMA,,
1.532425541666667,0,,
1.533467041666667,COMMA,,
1.534508583333333,0,,
1.535550083333333,COMMA,,
1.536591625000000,COMMA,,
1.537633125000000,COMMA,,
1.538674666666667,M,,
1.539716166666667,COMMA,,
1.540757708333333,COMMA,,
1.541799208333333,M,,
1.543029041666667,COMMA,,
1.544070541666667,COMMA,,
1.545112083333333,*,,
1.546153583333333,4,,
1.547195083333333,B,,
1.548236625000000,\r,,
1.549278125000000,\n,,
1.550319666666667,$,,
1.551361166666667,G,,
1.552402708333333,P,,
1.553444208333333,G,,
1.554485750000000,S,,
1.555527250000000,A,,
1.556568791666667,COMMA,,
1.557610291666667,A,,
1.558651833333333,COMMA,,
1.559881708333333,1,,
1.560923208333333,COMMA,,
1.561964750000000,COMMA,,
1.563006250000000,COMMA,,
1.564047750000000,COMMA,,
1.565089291666667,COMMA,,
1.566130791666667,COMMA,,
1.567172333333333,COMMA,,
1.568213833333333,COMMA,,
1.569255375000000,COMMA,,
1.570296875000000,COMMA,,
1.571338416666667,COMMA,,
1.572379916666667,COMMA,,
1.573421458333333,COMMA,,
1.574462958333333,COMMA,,
1.575504500000000,COMMA,,
1.576734291666667,*,,
1.577775833333333,1,,
1.578817333333333,E,,
1.579858833333333,\r,,
1.580900375000000,\n,,
1.581941875000000,$,,
1.582983416666667,G,,
1.584024916666667,P,,
1.585066458333333,R,,
1.586107958333333,M,,
1.587149500000000,C,,
1.588191000000000,COMMA,,
1.589232541666667,0,,
1.590274041666667,0,,
1.591315583333333,2,,
1.592357083333333,2,,
1.593586666666667,4,,
1.594628166666667,0,,
1.595669708333333,.,,
1.596711208333333,7,,
1.597752750000000,9,,
1.598794250000000,9,,
1.599835750000000,COMMA,,
1.600877291666667,V,,
1.601918791666667,COMMA,,
1.602960333333333,COMMA,,
1.604001833333333,COMMA,,
1.605043375000000,COMMA,,
1.606084875000000,COMMA,,
1.607126416666667,0,,
1.608167916666667,.,,
1.609209458333333,0,,
1.610439250000000,0,,
1.611480791666667,COMMA,,
1.612522291666667,0,,
1.613563833333333,.,,
1.614605333333333,0,,
1.615646875000000,0,,
1.616688375000000,COMMA,,
1.617729875000000,0,,
1.618771416666667,6,,
1.619812916666667,0,,
1.620854458333333,1,,
1.621895958333333,8,,
1.622937500000000,0,,
1.623979000000000,COMMA,,
1.625020541666667,COMMA,,
1.626062041666667,COMMA,,
1.627291875000000,N,,
1.628333375000000,*,,
1.629374916666667,4,,
1.630416416666667,1,,
1.631457958333333,\r,,
1.632499458333333,\n,,
1.633540958333333,$,,
1.634582500000000,G,,
1.635624000000000,P,,
1.636665541666667,V,,
1.637707041666667,T,,
1.638748583333333,G,,
1.639790083333333,COMMA,,
1.640831625000000,0,,
1.641873125000000,.,,
1.642914666666667,0,,
1.644144541666667,0,,
1.645186041666667,COMMA,,
1.646227583333333,T,,
1.647269083333333,COMMA,,
1.648310583333333,COMMA,,
1.649352125000000,M,,
1.650393625000000,COMMA,,
1.651435166666667,0,,
1.652476666666667,.,,
1.653518208333333,0,,
1.654559708333333,0,,
1.655601250000000,COMMA,,
1.656642750000000,N,,
1.657684291666667,COMMA,,
1.658725791666667,0,,
1.659767333333333,.,,
1.660955500000000,0,,
1.661997041666667,0,,
1.663038541666667,COMMA,,
1.664080083333333,K,,
1.665121583333333,COMMA,,
1.666163125000000,N,,
1.667204625000000,*,,
1.668246166666667,3,,
1.669287666666667,2,,
1.670329166666667,\r,,
1.671370708333333,\n,,
2.511078000000000,$,,
2.512119541666667,G,,
2.513161041666667,P,,
2.514202583333333,G,,
2.515244083333333,G,,
2.516285583333334,A,,
2.517327125000000,COMMA,,
2.518368625000000,0,,
2.519410166666667,0,,
2.520451666666667,2,,
2.521493208333333,2,,
2.522534708333333,4,,
2.523576250000000,1,,
2.524617750000000,.,,
2.525659291666666,7,,
2.526700791666667,9,,
2.527930416666667,9,,
2.528971958333333,COMMA,,
2.530013458333333,COMMA,,
2.531055000000000,COMMA,,
2.532096500000000,COMMA,,
2.533138041666667,COMMA,,
2.534179541666667,0,,
2.535221041666667,COMMA,,
2.536262583333333,0,,
2.537304083333333,COMMA,,
2.538345625000000,COMMA,,
2.539387125000000,COMMA,,
2.540428666666667,M,,
2.541470166666667,COMMA,,
2.542511708333334,COMMA,,
2.543553208333333,M,,
2.544783083333333,COMMA,,
2.545824625000000,COMMA,,
2.546866125000000,*,,
2.547907666666667,4,,
2.548949166666667,A,,
2.549990666666667,\r,,
2.551032208333333,\n,,
2.552073708333333,$,,
2.553115250000000,G,,
2.554156750000000,P,,
2.555198291666667,G,,
2.556239791666667,S,,
2.557281333333334,A,,
2.558322833333333,COMMA,,
2.559364375000000,A,,
2.560405875000000,COMMA,,
2.561635708333333,1,,
2.562677208333333,COMMA,,
2.563718750000000,COMMA,,
2.564760250000000,COMMA,,
2.565801791666667,COMMA,,
2.566843291666667,COMMA,,
2.567884791666667,COMMA,,
2.568926333333333,COMMA,,
2.569967833333333,COMMA,,
2.571009375000000,COMMA,,
2.572050875000000,COMMA,,
2.573092416666667,COMMA,,
2.574133916666667,COMMA,,
2.575175458333333,COMMA,,
2.576216958333333,COMMA,,
2.577258500000000,COMMA,,
2.578488291666666,*,,
2.579529833333333,1,,
2.580571333333333,E,,
2.581612875000000,\r,,
2.582654375000000,\n,,
2.583695875000000,$,,
2.584737416666667,G,,
2.585778916666666,P,,
2.586820458333333,G,,
2.587861958333333,S,,
2.588903500000000,V,,
2.589945000000000,COMMA,,
2.590986541666667,1,,
2.592028041666667,COMMA,,
2.593069583333333,1,,
2.594111083333333,COMMA,,
2.595340958333333,0,,
2.596382500000000,0,,
2.597424000000000,*,,
2.598465500000000,7,,
2.599507041666667,9,,
2.600548541666666,\r,,
2.601590083333333,\n,,
2.602631583333333,$,,
2.603673125000000,G,,
2.604714625000000,P,,
2.605756166666667,R,,
2.606797666666667,M,,
2.607839208333333,C,,
2.608880708333333,COMMA,,
2.609922250000000,0,,
2.610963750000000,0,,
2.612193583333333,2,,
2.613235083333334,2,,
2.614276625000000,4,,
2.615318125000000,1,,
2.616359625000000,.,,
2.617401166666667,7,,
2.618442666666667,9,,
2.619484208333333,9,,
2.620525708333334,COMMA,,
2.621567250000000,V,,
2.622608750000000,COMMA,,
2.623650291666667,COMMA,,
2.624691791666667,COMMA,,
2.625733333333333,COMMA,,
2.626774833333333,COMMA,,
2.627816375000000,0,,
2.629046166666666,.,,
2.630087708333333,0,,
2.631129208333333,0,,
2.632170708333333,COMMA,,
2.633212250000000,0,,
2.634253750000000,.,,
2.635295291666667,0,,
2.636336791666666,0,,
2.637378333333333,COMMA,,
2.638419833333333,0,,
2.639461375000000,6,,
2.640502875000000,0,,
2.641544416666667,1,,
2.642585916666667,8,,
2.643627458333333,0,,
2.644668958333333,COMMA,,
2.645898833333333,COMMA,,
2.646940333333333,COMMA,,
2.647981875000000,N,,
2.649023375000000,*,,
2.650064916666667,4,,
2.651106416666666,0,,
2.652147958333333,\r,,
2.653189458333333,\n,,
2.654231000000000,$,,
2.655272500000000,G,,
2.656314041666667,P,,
2.657355541666667,V,,
2.658397083333333,T,,
2.659438583333333,G,,
2.660480083333333,COMMA,,
2.661521625000000,0,,
2.662751458333333,.,,
2.663792958333334,0,,
2.664834458333333,0,,
2.665876000000000,COMMA,,
2.666917500000000,T,,
2.667959041666667,COMMA,,
2.669000541666667,COMMA,,
2.670042083333333,M,,
2.671083583333334,COMMA,,
2.672125125000000,0,,
2.673166625000000,.,,
2.674208166666667,0,,
2.675249666666667,0,,
2.676291208333333,COMMA,,
2.677332708333333,N,,
2.678374208333334,COMMA,,
2.679579000000000,0,,
2.680620500000000,.,,
2.681662041666667,0,,
2.682703541666667,0,,
2.683745041666667,COMMA,,
2.684786583333334,K,,
2.685828083333333,COMMA,,
2.686869625000000,N,,
2.687911125000000,*,,
2.688952666666667,3,,
2.689994166666667,2,,
2.691035708333333,\r,,
2.692077208333334,\n,,
3.510188833333333,$,,
3.511230375000000,G,,
3.512271875000000,P,,
3.513313416666667,G,,
3.514354916666667,G,,
3.515396458333333,A,,
3.516437958333333,COMMA,,
3.517479500000000,0,,
3.518521000000000,0,,
3.519562541666667,2,,
3.520604041666667,2,,
3.521645541666667,4,,
3.522687083333333,2,,
3.523728583333333,.,,
3.524770125000000,7,,
3.525811625000000,9,,
3.527041250000000,9,,
3.528082791666667,COMMA,,
3.529124291666667,COMMA,,
3.530165833333333,COMMA,,
3.531207333333333,COMMA,,
3.532248875000000,COMMA,,
3.533290375000000,0,,
3.534331916666666,COMMA,,
3.535373416666667,0,,
3.536414958333333,COMMA,,
3.537456458333333,COMMA,,
3.538498000000000,COMMA,,
3.539539500000000,M,,
3.540581000000000,COMMA,,
3.541622541666666,COMMA,,
3.542664041666667,M,,
3.543893875000000,COMMA,,
3.544935375000000,COMMA,,
3.545976916666667,*,,
3.547018416666667,4,,
3.548059958333333,9,,
3.549101458333333,\r,,
3.550143000000000,\n,,
3.551184500000000,$,,
3.552226041666667,G,,
3.553267541666667,P,,
3.554309083333334,G,,
3.555350583333333,S,,
3.556392125000000,A,,
3.557433625000000,COMMA,,
3.558475125000000,A,,
3.559516666666667,COMMA,,
3.560746541666667,1,,
3.561788041666667,COMMA,,
3.562829583333333,COMMA,,
3.563871083333333,COMMA,,
3.564912625000000,COMMA,,
3.565954125000000,COMMA,,
3.566995666666667,COMMA,,
3.568037166666667,COMMA,,
3.569078708333334,COMMA,,
3.570120208333333,COMMA,,
3.571161750000000,COMMA,,
3.572203250000000,COMMA,,
3.573244750000000,COMMA,,
3.574286291666667,COMMA,,
3.575327791666667,COMMA,,
3.576369333333334,COMMA,,
3.577599125000000,*,,
3.578640666666667,1,,
3.579682166666667,E,,
3.580723708333333,\r,,
3.581765208333333,\n,,
3.582806750000000,$,,
3.583848250000000,G,,
3.584889791666667,P,,
3.585931291666667,R,,
3.586972833333333,M,,
3.588014333333333,C,,
3.589055833333333,COMMA,,
3.590097375000000,0,,
3.591138875000000,0,,
3.592180416666667,2,,
3.593221916666667,2,,
3.594450875000000,4,,
3.595492416666667,2,,
3.596533916666667,.,,
3.597575458333333,7,,
3.598616958333333,9,,
3.599658500000000,9,,
3.600700000000000,COMMA,,
3.601741541666667,V,,
3.602783041666667,COMMA,,
3.603824583333334,COMMA,,
3.604866083333333,COMMA,,
3.605907583333333,COMMA,,
3.606949125000000,COMMA,,
3.607990625000000,0,,
3.609032166666667,.,,
3.610073666666667,0,,
3.611303541666667,0,,
3.612345083333333,COMMA,,
3.613386583333333,0,,
3.614428125000000,.,,
3.615469625000000,0,,
3.616511166666667,0,,
3.617552666666667,COMMA,,
3.618594208333333,0,,
3.619635708333333,6,,
3.620677208333333,0,,
3.621718750000000,1,,
3.622760250000000,8,,
3.623801791666667,0,,
3.624843291666667,COMMA,,
3.625884833333333,COMMA,,
3.626926333333333,COMMA,,
3.628156166666667,N,,
3.629197666666667,*,,
3.630239208333333,4,,
3.631280708333333,3,,
3.632322250000000,\r,,
3.633363750000000,\n,,
3.634405291666666,$,,
3.635446791666667,G,,
3.636488291666667,P,,
3.637529833333333,V,,
3.638571333333333,T,,
3.639612875000000,G,,
3.640654375000000,COMMA,,
3.641695916666666,0,,
3.642737416666667,.,,
3.643778958333333,0,,
3.645008750000000,0,,
3.646050291666667,COMMA,,
3.647091791666667,T,,
3.648133333333333,COMMA,,
3.649174833333333,COMMA,,
3.650216375000000,M,,
3.651257875000000,COMMA,,
3.652299416666667,0,,
3.653340916666667,.,,
3.654382416666667,0,,
3.655423958333333,0,,
3.656465458333333,COMMA,,
3.657507000000000,N,,
3.658548500000000,COMMA,,
3.659590041666667,0,,
3.660631541666667,.,,
3.661819750000000,0,,
3.662861250000000,0,,
3.663902791666667,COMMA,,
3.664944291666667,K,,
3.665985833333333,COMMA,,
3.667027333333333,N,,
3.668068875000000,*,,
3.669110375000000,3,,
3.670151916666667,2,,
3.671193416666667,\r,,
3.672234958333333,\n,,
4.510377333333333,$,,
4.511418833333333,G,,
4.512460375000000,P,,
4.513501875000000,G,,
4.514543416666666,G,,
4.515584916666667,A,,
4.516626458333334,COMMA,,
4.517667958333333,0,,
4.518709500000000,0,,
4.519751000000000,2,,
4.520792541666666,2,,
4.521834041666667,4,,
4.522875541666667,3,,
4.523917083333333,.,,
4.524958583333333,7,,
4.526000125000000,9,,
4.527229875000000,9,,
4.528271375000000,COMMA,,
4.529312916666667,COMMA,,
4.530354416666666,COMMA,,
4.531395958333333,COMMA,,
4.532437458333333,COMMA,,
4.533479000000000,0,,
4.534520500000000,COMMA,,
4.535562041666667,0,,
4.536603541666667,COMMA,,
4.537645083333333,COMMA,,
4.538686583333333,COMMA,,
4.539728083333333,M,,
4.540769625000000,COMMA,,
4.541811125000000,COMMA,,
4.542852666666667,M,,
4.544082541666667,COMMA,,
4.545124041666667,COMMA,,
4.546165583333333,*,,
4.547207083333333,4,,
4.548248625000000,8,,
4.549290125000000,\r,,
4.550331666666667,\n,,
4.551373166666667,$,,
4.552414708333333,G,,
4.553456208333333,P,,
4.554497750000000,G,,
4.555539250000000,S,,
4.556580750000000,A,,
4.557622291666667,COMMA,,
4.558663791666667,A,,
4.559705333333333,COMMA,,
4.560935125000000,1,,
4.561976666666666,COMMA,,
4.563018166666667,COMMA,,
4.564059708333334,COMMA,,
4.565101208333333,COMMA,,
4.566142750000000,COMMA,,
4.567184250000000,COMMA,,
4.568225791666666,COMMA,,
4.569267291666667,COMMA,,
4.570308833333334,COMMA,,
4.571350333333333,COMMA,,
4.572391833333334,COMMA,,
4.573433375000000,COMMA,,
4.574474875000000,COMMA,,
4.575516416666667,COMMA,,
4.576557916666666,COMMA,,
4.577787750000000,*,,
4.578829250000000,1,,
4.579870791666667,E,,
4.580912291666666,\r,,
4.581953833333333,\n,,
4.582995333333334,$,,
4.584036875000000,G,,
4.585078375000000,P,,
4.586119916666667,R,,
4.587161416666667,M,,
4.588202916666667,C,,
4.589244458333333,COMMA,,
4.590285958333333,0,,
4.591327500000000,0,,
4.592369000000000,2,,
4.593410541666667,2,,
4.594706000000000,4,,
4.595747500000000,3,,
4.596789041666667,.,,
4.597830541666666,7,,
4.598872041666667,9,,
4.599913583333334,9,,
4.600955083333333,COMMA,,
4.601996625000000,V,,
4.603038125000000,COMMA,,
4.604079666666666,COMMA,,
4.605121166666667,COMMA,,
4.606162708333334,COMMA,,
4.607204208333333,COMMA,,
4.608245750000000,0,,
4.609287250000000,.,,
4.610328791666666,0,,
4.611558583333333,0,,
4.612600125000000,COMMA,,
4.613641625000000,0,,
4.614683125000000,.,,
4.615724666666667,0,,
4.616766166666666,0,,
4.617807708333333,COMMA,,
4.618849208333334,0,,
4.619890750000000,6,,
4.620932250000000,0,,
4.621973791666667,1,,
4.623015291666666,8,,
4.624056833333333,0,,
4.625098333333334,COMMA,,
4.626139875000000,COMMA,,
4.627181375000000,COMMA,,
4.628411250000000,N,,
4.629452791666667,*,,
4.630494291666666,4,,
4.631535791666667,2,,
4.632577333333334,\r,,
4.633618833333333,\n,,
4.634660375000000,$,,
4.635701875000000,G,,
4.636743416666667,P,,
4.637784916666667,V,,
4.638826458333333,T,,
4.639867958333333,G,,
4.640909500000000,COMMA,,
4.641951000000000,0,,
4.642992541666667,.,,
4.644034041666667,0,,
4.645263875000000,0,,
4.646305375000000,COMMA,,
4.647346875000000,T,,
4.648388416666666,COMMA,,
4.649429916666667,COMMA,,
4.650471458333334,M,,
4.651512958333333,COMMA,,
4.652554500000000,0,,
4.653596000000000,.,,
4.654637541666666,0,,
4.655679041666667,0,,
4.656720583333334,COMMA,,
4.657762083333333,N,,
4.658803625000000,COMMA,,
4.659845125000000,0,,
4.660886625000000,.,,
4.662074833333334,0,,
4.663116375000000,0,,
4.664157875000000,COMMA,,
4.665199416666667,K,,
4.666240916666666,COMMA,,
4.667282416666667,N,,
4.668323958333334,*,,
4.669365458333333,3,,
4.670407000000000,2,,
4.671448500000000,\r,,
4.672490041666666,\n,,
